Song,Artist
(If You're Wondering If I Want You To) I Want You To,Weezer
(Unknown),Immediate Music
1812 Overture,Pyotr Ilyich Tchaikovsky
20th Century Boy,Placebo
A God King Bleeds (300 OST),Tyler Bates
About Today,The National
Absolute Anthropoid,Pfeifer Broz
Acid Reflux,Brand X
Akkadian Empire,Audiomachine
Alice,Cocteau Twins
Almost Martyrs (The Life of David Gale OST),Alex Parker
Aluminum,The Hit House
Always Something There To Remind Me,Naked Eyes
Any Way You Want It,Journey
Apple Tree,Wolfmother
Aquarium,Camille Saint-SaÃ«ns
Asleep from Day,The Chemical Brothers
Aurora,PostHaste Music
Baba O'Riley,The Who
Baby Did a Bad Bad Thing,Chris Isaak
Back in Black,AC/DC
Bad Religion,Frank Ocean
Bad to the Bone,George Thorogood and the Destroyers
Beautiful Girl,INXS
Beauty Never Fades,Junkie XL
Black Blade,Two Steps From Hell
Black Cauldron,Audiomachine
Black Skinhead,Kanye West
Black Tambourine,Beck
Bliss,Syntax
Blister in the Sun,Violent Femmes
"Boom, Shake, Drop",Pitbull
Brazil,Ary Barroso
Breathing Space,X-Ray Dog
Bring the Pain,Brand X
Broken,Lifehouse
Butterflies and Hurricanes,Muse
Can't You Hear Me Knocking,Rolling Stones
Carpathian's Stronghold,Immediate Music
Catastrophic,Position Music
Chariots of Fire,Vangelis
Choke,Hybrid
Church,T-Pain
Clash of Titans,Immediate Music
Cobrastyle,Teddybears
Cochise,Audioslave
Code Red,Immediate Music
Crazy in Love,Beyonce
Creep,Scala & Kolacny Brothers
Crimson Shade,Position Music
Dark_You Can't Hide,Brand X
Darkness and Light,X-Ray Dog
Darkness Falls,PostHaste Music Library
Dead Reckoning,Clint Mansell
Detroit Rock City,KISS
Dirty Paws,Of Monsters and Men
Divine Crusade,X-Ray Dog
DNA Reactor,Pfeifer Broz
DNA Reactor,Pfeifer Broz. Music
Do It Well,Jennifer Lopez
Dog Days Are Over,Florence & The Machine
Don't Bring Me Down,ELO
Don't Speak,Eagles Of Death Metal
Don't You Want Me,The Human League
Doomsday,Groove Addicts
Down With The Enterprise,Two Steps From Hell
Dream On,Aerosmith
Dreams,The Cranberries
Empire State of Mind,Jay-Z/Alicia Keys
Enchanted,Taylor Swift
Epicon,Immediate Music
Everlasting Love,Sandra
Everybody Wants To Rule The World,Lorde
Evey Reborn,V for Vendetta OST
Fearless,Brand X
Feel So Close,Calvin Harris
Feeling a Moment,Feeder
Feeling Good,Muse
Fire and Honor,Audiomachine
Firework,Katie Perry
Fistful of Silence,The Glitch Mob
Flight of the Phoenix,PostHaste Music Library
Fool for Love,Stefy
For What It's Worth,Buffalo Springfield
Free Ride,Edgar Winter Group
Funky Town,Lipps Inc
Gasoline,Audioslave
Get Up,Ciara
Gimme Shelter,The Rolling Stones
Gimme Some Lovin,Spencer Davis Group
"Girl, You'll Be A Woman Soon",Urge Overkill
Given Up,Linkin Park
Glacial Supremacy,Pfeifer Broz
Glory and Honor,Two Steps From Hell
God's Gonna Cut You Down,Johnny Cash
Good Feeling,Flo Rida
Grail Seeker,Immediate Music
Grind,Brand X
Guardians at the Gate,Audiomachine
Half the Man,Methodic Doubt
Happy Together,Filter
Hard Knock Life,Jay Z
Heart of Courage,Two Steps From Hell
Heaven Isn't too far Away,Warrant
Hell Above Water,Curve
Hell's Battalion,Audiomachine
Here Comes The King,X-Ray Dog
Here Comes Your Man,Pixies
Hey Little World,The Hives
Hey Man Nice Shot,Filter
Hit Me With Your Best Shot,Pat Benatar
Home,Phillip Phillips
Hooked on a Feeling,Blue Swede
Horse Falls,J. Ralph
Hot n Cold,Katy Perry
How Far We've Come,Matchbox Twenty
How to Save a Life,The Fray
How You Like Me Now,The Heavy
Hustlin,Rick Ross
I Have Nothing,Whitney Houston
I Need Air,Magnetic Man
I Want To Take You Higher,Sly & The Family Stone
I'd Love to Change the World,Jetta
I'll Try Anything Once,Julian Casablancas
I'm Shipping Up to Boston,Dropkick Murphys
Immigrant Song,Led Zeppelin (cover by Trent Reznor and Karen O)
Imminent Impact,DistortionMX
Imperatrix Mundi,Position Music
In the Air Tonight,Phil Collins
In the Hall of the Mountain King,Edvard Grieg
Insane In The Membrane,Cypress Hill
Insomnia (Elektra OST),Christophe Beck
Invaders Must Die,The Prodigy
Iron Man,Black Sabbath
It Takes Two,Rob Base & DJ E-Z Rock
Jungle Boogie,Kool & the Gang
Just like living in Paradise,David Lee Roth
Just Like You Imagined,Nine Inch Nails
Kashmir,Led Zeppelin
King Drum,Brand X
Kings & Queens,30 Seconds to Mars
Kings and Queens,30 Seconds to Mars
Kiss the Sky,Shawn Lee's Ping Pong Orchestra Vs. Nino Moschella
Kissing You,Des'ree
Knockin' On Heaven's Door,Bob Dylan
Legend Has It,Run the Jewels
Let 'Em In,Paul McCartney
Let's Get Retarded,Black Eyed Peas
Lexicon,PostHaste Music
Livin' On A Prayer,Bon Jovi
Lonely,Timmy Curran
Lonely Boy,The Black Keys
Lord Give Me a Sign,DMX
Louder Than Words,Les Friction
Love Song,Sara Bareilles
Low,Flo Rida
Lucius Dei,Immediate Music
Mad World,Gary Jules
Magic Flute,PostHaste Music Library
Magical Mystery,Brand X
Maniac,Michael Sembello
Map of the Problematique,Muse.
Master of Shadows,Two Steps From Hell
Mein Herz Brennt,Rammstein
Misirlou,Dick Dale and the Del-Tones
Misty Mountains,Howard Shore
Molossus (Batman Begins OST),"Hans Zimmer, James Newton Howard"
Momentum,Aimee Mann
Moving Mountains,Two Steps From Hell
My Name is Lincoln (The Island OST),Steve Jablonsky
Name of the Game,The Crystal Method
New Hope,PostHaste Music Library
No one Knows,Queens of the Stone Age
North American Scum,LCD Soundsystem
Nothin But a Good Time,Poison
Ocean Dreams,PostHaste Music
Oh My God,Jay Z
Once In A Lifetime,Talking Heads
One,U2
"One Bourbon, One Scotch, One Beer",George Thorogood
One Trick Pony,Bruce Springsteen
One Way or Another,Blondie
Osaka Trade,Flying Lotus
Outro,M83
Painkiller,Brand X
Panic Switch,Silversun Pickups
Pantheon,Brand X
Paper Planes,M.I.A.
"Peer Gynt Suite No.1, 'Morning'",Edvard Grieg
Pictures of You,The Last Goodnight
Pompeii,Bastille
Pork & Beans,Weezer
Pour Some Sugar on Me,Def Leppard
Prelude,Pusher Music
Prince of Darkness,Immediate Music
Prince of Darkness,City of the Fallen
Problem,Natalia Kills
Prologue & Birth,Audiomachine
Prophecies,Philip Glass
Pusuit of Happiness (Steve Aoki Remix),Kid Cudi
Race Wars,BT
Radioactive,Imagine Dragons
Raise Your Glass,Pink
Razor's Edge,AC/DC
Rebels,Ohana Bam
Relax (Don't Do It),Frankie Goes to Hollywood
Remember the Name,Fort Minor
Returns a King (300 OST),Tyler Bates
Ridin',Chamillionaire
Right Now,SR-71
Ritual,Immediate Music
Rock You Like a Hurricane,Scorpions
Ronin (The Last Samurai OST),Hans Zimmer
Running Up That Hill,Placebo
Save Yourself,Stabbing Westward
Say Something,A Great Big World
Season of the Witch,Donovan
Seven Nation Army,The White Stripes
Sexy and I Know It,LMFAO
She,Richard Butler
Shots,LMFAO ft. Lil Jon
Show Me What I'm Looking For,Carolina Liar
Siege Towers,Audiomachine
"Signed, Sealed, Delivered I'm Yours",Stevie Wonder
Simple Song,The Shins
Slow Down Ghandi,Sage Francis
Snow Falling on Cedars,James Newton Howard
Solomon,Hans Zimmer
Some Nights,Fun
Sound of da Police,Krs-One
Stand by Me,Ki:Theory
Starlight,Muse
Storm a Comin,Witchman
Straight Out of Compton,NWA
Stronger,Kelly Clarkson
Stubborn Love,The Lumineers
"Sugar Pie, Honey Bunch",The Four Tops
Sun's Gone Dim,Johann Johannsson
Sunshine (OST),John Murphy
Superstition,Stevie Wonder
Sway,Dean Martin
Sweet Child O' Mine,Taken by Trees
Sweet Disposition,The Temper Trap
Sweet Dreams (Are Made Of This),Marilyn Manson
Sweet Emotion,Aerosmith
Take a Bow,Muse
Take Me Home Tonight,Eddie Money
Takin' Care of Business,Bachman-Turner Overdrive
Teen Spirit,Think Up Anger
Teenage Wasteland,The Who
Ten Million Slaves,Otis Taylor
Terminus,Audio Machine
The Baudelaire Orphans (Lemony Snicket's OST),Thomas Newman
The Beginning is the End is the Beginning,Smashing Pumpkins
The Bird and the Worm,The Used
The Black Legend,Immediate Music
The Bridge Of Khazad Dum,Howard Shore
The Bullfighter,Carne Asada
The Captain,The Knife
The Day Is Yours,Patrick Doyle
"The Good, The Bad and the Ugly",Ennio Morricone
The Lightning Strike,Snow Patrol
The Look of Love,Diana Krall
The Lords Shall Rule,Immediate Music
The Messenger,X-Ray Dog
The Mute,Radical Face
The Only Moment We Were Alone,Explosions in the Sky
The Outsider,A Perfect Circle
The Outsider (Apocalypse Mix),A Perfect Circle
The Rockafeller Skank,Fatboy Slim
The Saints Are Coming,The Skids
The Stepford Wives,David Arnold
The Strength Of The Righteous (The Untouchables OST),Ennio Morricone
The Vesion,X-Ray Dog
The War Inside,Switchfoot
Theme Montage (Nightmare Before Christmas OST),Danny Elfman
There Is a Light That Never Goes Out,The Smiths
This is Not the End,Fieldwork
Thorgasm,Machine Vandals
Thunderstruck,AC/DC
Time Bomb,Beck
Time Is Running Out,Muse
Titan Dune,Two Steps From Hell
Torn,Natalie Imbruglia
Tristan,Two Steps From Hell
Trouble,Pink
Trouble,Ethel and the Chordtones
Unison (Knife Party Remix),Porter Robinson
Unstoppable,E.S. Posthumus
Until the Day I Die,Story of the Year
Until We Go Down,Maggie Eckford
Uprising,Muse
Us,Regina Spektor
Vagabond,Wolfmother
Veni Vidi Vici,Audiomachine
Vespertilio (Batman Begins OST),"Hans Zimmer, James Newton Howard"
Voices of War,X-Ray Dog
Vox Populi,30 Seconds to Mars
Wake Up,Arcade Fire
Wanted Dead or Alive,Bon Jovi
War,Edwin Starr
War Machine,AC/DC
Water Pistol Attack (Addicted to Love OST),Rachel Portman
Waterworld Theme,James Newton Howard
We Are Rockstars,"Does It Offend You, Yeah?"
We Are Young,Fun
Welcome Home,Coheed and Cambria
We're In This Together,Nine Inch Nails
What a Wonderful World,Eddy Arnold
When the Levee Breaks,Led Zeppelin
When You Love Somebody,Fruit Bats
Where No One Stands Alone,The Peasall Sisters
Where the Streets Have No Name,U2
Woman,Wolfmother
Wonderful World,Sam Cooke
World Collapsing,Danny Cocke
Yeah 3X,Chris Brown
Yeah Ya Know,T.I.
Yeah Yeah Yeah,My Radio
You and Your Hand,Pink
You Make My Dreams Come True,Hall & Oates
