imdb_id,film_title,year,tradd_url,link,tags,filename,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
tt0848228,The Avengers,2012,/the-avengers,/the-avengers/feature-trailer,"Paramount Pictures|Marvel Studios|Action|Adventure|Comicbook|Samuel L. Jackson|Robert Downey, Jr.|Chris Evans|Chris Hemsworth|Jeremy Renner|Scarlett Johansson|Tom Hiddleston|Mark Ruffalo|Clark Gregg",the-avengers_feature-trailer,14.30769231,0.434923077,0.884384615,6.307692308,-4.498615385,0.461538462,0.064715385,0.001655769,0.000618504,0.260430769,0.374307692,132.0975385,4
tt0472033,9,2009,/9-feature,/9-feature/trailer,Focus Features|Action|CG Animation|Teaser|Remake,9-feature_trailer,,,,,,,,,,,,,
tt0472033,9,2009,/9-feature,/9-feature/feature-trailer,Focus Features|Action|CG Animation|Remake|Elijah Wood|Jennifer Connelly|Christopher Plummer,9-feature_feature-trailer,,,,,,,,,,,,,
tt0416449,300,2007,/300,/300/teaser-trailer,Warner Bros. Pictures|Action|Comicbook|Teaser|Gerard Butler|Lena Headey|David Wenham|Vincent Regan|Rodrigo Santoro|Dominic West,300_teaser-trailer,27.88,0.216224,0.34288,4.52,-15.4204,0.52,0.04144,0.4383164,0.779484,0.159076,0.090928,101.58944,3.4
tt1190080,2012,2009,/2012,/2012/trailer,Columbia Pictures|Action|Adventure|John Cusack|Amanda Peet|Chiwetel Ejiofor|Danny Glover|Thandie Newton|Oliver Platt|Thomas McCarthy|Woody Harrelson|Chin Han|Morgan Lily|Beatrice Rosen,2012_trailer,0.315789474,0.480315789,0.769105263,6.421052632,-7.943105263,0.526315789,0.059563158,0.100042632,0.263749971,0.233857895,0.348726316,128.0495263,4
tt1022603,(500) Days of Summer,2009,/500-days-of-summer,/500-days-of-summer/trailer,Fox Searchlight|Comedy|Joseph Gordon-Levitt|Zooey Deschanel|Clark Gregg|Minka Kelly|Rachel Boston|Matthew Gray Gubler|Chloë Grace Moretz,500-days-of-summer_trailer,,,,,,,,,,,,,
tt1022603,(500) Days of Summer,2009,/500-days-of-summer,/500-days-of-summer/teaser-trailer,Fox Searchlight|Comedy|Joseph Gordon-Levitt|Zooey Deschanel|Clark Gregg|Minka Kelly|Rachel Boston|Matthew Gray Gubler|Chloë Grace Moretz,500-days-of-summer_teaser-trailer,,,,,,,,,,,,,
tt2024544,12 Years a Slave,2013,/12-years-a-slave,/12-years-a-slave/trailer,Fox Searchlight|Drama|Biopic|Chiwetel Ejiofor|Michael Fassbender|Benedict Cumberbatch|Paul Dano|Paul Giamatti|Lupita Nyong'o|Sarah Paulson|Brad Pitt|Alfre Woodard|Scoot McNairy,12-years-a-slave_trailer,,,,,,,,,,,,,
tt2172934,3 Days to Kill,2014,/3-days-to-kill,/3-days-to-kill/trailer,Relativity Media|Thriller|Action|Kevin Costner|Amber Heard|Hailee Steinfeld|Connie Nielsen,3-days-to-kill_trailer,,,,,,,,,,,,,
tt0120623,A Bug's Life,1998,/a-bugs-life,/a-bugs-life/trailer,Pixar Animation|Walt Disney Pictures|CG Animation|Family|Dave Foley|Denis Leary|Kevin Spacey|Phyllis Diller|Brad Garrett|Jonathan Harris,a-bugs-life_trailer,,,,,,,,,,,,,
tt0405296,A Scanner Darkly,2006,/scanner-darkly,/scanner-darkly/teaser-trailer,"Warner Independent|Keanu Reeves|Robert Downey, Jr.|Woody Harrelson|Winona Ryder|Rory Cochrane|Animation",scanner-darkly_teaser-trailer,2.090909091,0.340063636,0.453159091,5.727272727,-11.58868182,0.636363636,0.079640909,0.522006364,0.638073682,0.185872727,0.179313636,96.66804545,3.954545455
tt1091722,Adventureland,2009,/adventureland,/adventureland/trailer,Miramax Films|Comedy|Jesse Eisenberg|Ryan Reynolds|Kristen Stewart|Bill Hader|Kristen Wiig|South by Southwest Film Festival,adventureland_trailer,1.571428571,0.477785714,0.726071429,4.5,-6.401,0.857142857,0.050042857,0.205222786,0.065772574,0.175828571,0.539714286,119.638,4
tt0881891,All About Steve,2009,/all-about-steve,/all-about-steve/trailer,20th Century Fox|Comedy|Sandra Bullock|Thomas Haden Church|Bradley Cooper|Sara Sanderson|Katy Mixon|Ken Jeong|M.C. Gainey|Keith David,all-about-steve_trailer,,,,,,,,,,,,,
tt0426883,Alpha Dog,2007,/alpha-dog,/alpha-dog/trailer,Drama|Universal Pictures|Ben Foster|Shawn Hatosy|Emile Hirsch|Chris Marquette|Sharon Stone|Justin Timberlake|Anton Yelchin|Bruce Willis,alpha-dog_trailer,,,,,,,,,,,,,
tt1823664,Annie,2014,/annie-2014,/annie-2014/feature-trailer,Sony Pictures|Comedy|Drama|Family|Musical/Broadway/Play|Remake|Jamie Foxx|Quvenzhané Wallis|Rose Byrne|Bobby Cannavale|Adewale Akinnuoye-Agbaje|David Zayas|Cameron Diaz|Musical,annie-2014_feature-trailer,42.73333333,0.5012,0.659333333,5.6,-6.1772,0.8,0.053126667,0.249247333,0.057796723,0.178953333,0.502,121.2162,4.066666667
tt1823664,Annie,2014,/annie-2014,/annie-2014/trailer,Sony Pictures|Comedy|Drama|Family|Musical/Broadway/Play|Remake|Jamie Foxx|Quvenzhané Wallis|Rose Byrne|Bobby Cannavale|Adewale Akinnuoye-Agbaje|David Zayas|Cameron Diaz|Musical,annie-2014_trailer,42.73333333,0.5012,0.659333333,5.6,-6.1772,0.8,0.053126667,0.249247333,0.057796723,0.178953333,0.502,121.2162,4.066666667
tt0313792,Anything Else,2003,/anything-else,/anything-else/trailer,DreamWorks Pictures|Comedy|Romance|Jason Biggs|Christina Ricci,anything-else_trailer,,,,,,,,,,,,,
tt1024648,Argo,2012,/argo,/argo/trailer,Warner Bros. Pictures|Drama|Thriller|Ben Affleck|Alan Arkin|Bryan Cranston|John Goodman|Kerry Bishé|Kyle Chandler|Rory Cochrane|Christopher Denham|Tate Donovan|Clea DuVall|Victor Garber,argo_trailer,10.41176471,0.355164706,0.193476471,6.058823529,-23.239,0.764705882,0.040364706,0.502,0.784717647,0.106041176,0.106429412,107.3915294,3.764705882
tt0375568,Astro Boy,2009,/astro-boy,/astro-boy/teaser-trailer,Summit Entertainment|Adventure|CG Animation|Television|Teaser,astro-boy_teaser-trailer,,,,,,,,,,,,,
tt0783233,Atonement,2008,/atonement,/atonement/trailer,Focus Features|Drama|Romance|Keira Knightley|James McAvoy|Romola Garai|Vanessa Redgrave|Brenda Blethyn,atonement_trailer,,,,,,,,,,,,,
tt1322269,August: Osage County,2014,/august-osage-county,/august-osage-county/feature-trailer,The Weinstein Company|Musical/Broadway/Play|Comedy|Drama|Meryl Streep|Julia Roberts|Ewan McGregor|Benedict Cumberbatch|Margo Martindale|Chris Cooper|Sam Shepard|Misty Upham|Juliette Lewis|Abigail Breslin|Dermot Mulroney|Julianne Nicholson|Newell Alexander,august-osage-county_feature-trailer,,,,,,,,,,,,,
tt0455824,Australia,2008,/australia,/australia/feature-trailer,20th Century Fox|Action|Drama|Romance|Nicole Kidman|Hugh Jackman,australia_feature-trailer,,,,,,,,,,,,,
tt0499549,Avatar,2009,/avatar,/avatar/trailer-b,20th Century Fox|Action|Adventure|Sci Fi|Sigourney Weaver|Stephen Lang|Zoë Saldaña|Sam Worthington|Michelle Rodriguez|Giovanni Ribisi|Joel David Moore|CCH Pounder|Peter Mensah|Laz Alonso|Wes Studi|Matt Gerald,avatar_trailer-b,,,,,,,,,,,,,
tt1217613,Battle: Los Angeles,2011,/battle-los-angeles,/battle-los-angeles/trailer,Columbia Pictures|Sci Fi|Action|Teaser|Aaron Eckhart|Michelle Rodriguez|Ramon Rodriguez|Bridget Moynahan,battle-los-angeles_trailer,5.045454545,0.203777273,0.380854545,4.272727273,-17.25522727,0.590909091,0.051618182,0.492418182,0.889909091,0.114604545,0.054863636,105.5005,3.909090909
tt0486551,Beerfest,2006,/beerfest,/beerfest/trailer,Warner Bros. Pictures|Comedy|Kevin Heffernan|Steve Lemme|Paul Soter|Jürgen Prochnow|Erik Stolhanske|Will Forte|Eric Christian Olsen,beerfest_trailer,,,,,,,,,,,,,
tt0159273,Behind Enemy Lines,2001,/behind-enemy-lines,/behind-enemy-lines/trailer,20th Century Fox|Action|War|Owen Wilson|Gabriel Macht|Gene Hackman|Joaquim De Almeida|Vladimir Mashkov|David Keith|Olek Krupa,behind-enemy-lines_trailer,,,,,,,,,,,,,
tt0265086,Black Hawk Down,2002,/black-hawk-down,/black-hawk-down/teaser-trailer,Columbia Pictures|Historical|Action|Drama|War|Teaser|Josh Hartnett|Tom Sizemore|Ewan McGregor|Sam Shepard,black-hawk-down_teaser-trailer,31.66666667,0.400466667,0.342213333,5,-16.02266667,0.533333333,0.043166667,0.45553,0.630988667,0.126426667,0.155573333,108.5544,3.733333333
tt1825683,Black Panther,2018,/black-panther-2018,/black-panther-2018/teaser-trailer,Marvel Studios|Walt Disney Pictures|Comicbook|Action|Sci Fi|Fantasy|Teaser|Chadwick Boseman|Danai Gurira|Lupita Nyong'o|Michael B. Jordan|Martin Freeman|Daniel Kaluuya|Angela Bassett|Andy Serkis|Sterling K. Brown|Isaach De Bankolé|Forest Whitaker,black-panther-2018_teaser-trailer,62.93333333,0.686066667,0.620133333,4.866666667,-7.0988,0.733333333,0.205613333,0.176834,0.00186627,0.173186667,0.431333333,119.6413333,4
tt1430612,Brick Mansions,2014,/brick-mansions,/brick-mansions/feature-trailer,Relativity Media|Action|Crime|Remake|Paul Walker|RZA|David Belle|Carlo Rota|Kalinka Petrie|Bruce Ramsay,brick-mansions_feature-trailer,2,0.771,0.62,4,-7.921,1,0.0478,0.000692,0.0442,0.0886,0.0711,99.996,4
tt0901476,Bride Wars,2009,/bride-wars,/bride-wars/trailer,20th Century Fox|Comedy|Romance|Anne Hathaway|Kate Hudson|Candice Bergen|Kristen Johnston,bride-wars_trailer,,,,,,,,,,,,,
tt0458339,Captain America: The First Avenger,2011,/captain-america-the-first-avenger,/captain-america-the-first-avenger/trailer,Paramount Pictures|Action|Adventure|Comicbook|Chris Evans|Hayley Atwell|Hugo Weaving|Sebastian Stan|Stanley Tucci|Tommy Lee Jones|Dominic Cooper|Natalie Dormer,captain-america-the-first-avenger_trailer,,,,,,,,,,,,,
tt1194417,Casino Jack,2011,/bagman,/bagman/trailer,Thriller|Kevin Spacey|Berry Pepper|Kelly Preston|Jon Lovitz|Graham Greene|Rachelle Lefevre|Maury Chaykin|Hannibal Pictures,bagman_trailer,,,,,,,,,,,,,
tt0450405,Cirque du Freak: The Vampire's Assistant,2009,/cirque-du-freak-vampires-assistant,/cirque-du-freak-vampires-assistant/trailer,Universal Pictures|Action|Drama|Family|Adventure|Fantasy|Horror|Thriller|John C. Reilly|Ken Watanabe|Josh Hutcherson|Chris Massoglia|Patrick Fugit|Ray Stevenson|Michael Cerveris|Frankie Faison|Jane Krakowski|Orlando Jones|Kristen Schaal|Salma Hayek,cirque-du-freak-vampires-assistant_trailer,,,,,,,,,,,,,
tt0800320,Clash of the Titans,2010,/clash-of-the-titans,/clash-of-the-titans/feature-trailer,Warner Bros. Pictures|Action|Adventure|Teaser|Sam Worthington|Liam Neeson|Ralph Fiennes|Danny Huston|Gemma Arterton|Mads Mikkelsen|Jason Flemyng|Alexa Davalos,clash-of-the-titans_feature-trailer,8.52173913,0.288469565,0.298173913,5.956521739,-18.10321739,0.391304348,0.045343478,0.545487826,0.787782609,0.141343478,0.092143478,94.009,3.695652174
tt0800320,Clash of the Titans,2010,/clash-of-the-titans,/clash-of-the-titans/trailer,Warner Bros. Pictures|Action|Adventure|Teaser|Sam Worthington|Liam Neeson|Ralph Fiennes|Danny Huston|Gemma Arterton|Mads Mikkelsen|Jason Flemyng|Alexa Davalos,clash-of-the-titans_trailer,8.52173913,0.288469565,0.298173913,5.956521739,-18.10321739,0.391304348,0.045343478,0.545487826,0.787782609,0.141343478,0.092143478,94.009,3.695652174
tt1371111,Cloud Atlas,2012,/cloud-atlas,/cloud-atlas/trailer,Warner Bros. Pictures|Drama|Fantasy|Sci Fi|Book|Tom Hanks|Halle Berry|Jim Broadbent|Hugo Weaving|Jim Sturgess|Doona Bae|Ben Whishaw|James D'Arcy|Xun Zhou|Keith David|David Gyasi|Susan Sarandon|Hugh Grant,cloud-atlas_trailer,19.04347826,0.2826,0.230923043,3.52173913,-17.69782609,0.782608696,0.039252174,0.586778261,0.833478261,0.143921739,0.109121739,109.4376957,3.956521739
tt0844471,Cloudy with a Chance of Meatballs,2009,/cloudy-wuth-a-chance-of-meatballs,/cloudy-wuth-a-chance-of-meatballs/feature-trailer,Columbia Pictures|CG Animation|Book|Family|Comedy|Bill Hader|Anna Faris|James Caan|Bruce Campbell|Andy Samberg|Mr T.|Tracy Morgan,cloudy-wuth-a-chance-of-meatballs_feature-trailer,9.090909091,0.310363636,0.347864545,5.181818182,-12.92548485,0.666666667,0.04970303,0.576804242,0.511923576,0.165254545,0.131784848,111.1381818,3.818181818
tt0345074,Connie and Carla,2004,/connie-and-carla,/connie-and-carla/trailer,Universal Pictures|Comedy|Nia Vardalos|Toni Collette|David Duchovny,connie-and-carla_trailer,,,,,,,,,,,,,
tt0121164,Corpse Bride,2005,/corpse-bride,/corpse-bride/teaser-trailer,Warner Bros. Pictures|Teaser|Stop Motion Animation|Johnny Depp|Helena Bonham Carter|Emily Watson,corpse-bride_teaser-trailer,34.66666667,0.396125,0.271929167,5.416666667,-15.94316667,0.375,0.0620375,0.734125,0.575373599,0.175083333,0.2745,109.0326667,3.75
tt0121164,Corpse Bride,2005,/corpse-bride,/corpse-bride/trailer,Warner Bros. Pictures|Stop Motion Animation|Johnny Depp|Helena Bonham Carter|Emily Watson,corpse-bride_trailer,34.66666667,0.396125,0.271929167,5.416666667,-15.94316667,0.375,0.0620375,0.734125,0.575373599,0.175083333,0.2745,109.0326667,3.75
tt0409847,Cowboys & Aliens,2011,/cowboys-and-aliens,/cowboys-and-aliens/feature-trailer,Universal Pictures|Action|Thriller|Comicbook|Daniel Craig|Harrison Ford|Olivia Wilde|Clancy Brown|Adam Beach|Sam Rockwell,cowboys-and-aliens_feature-trailer,5.352941176,0.235429412,0.252647059,5.176470588,-19.15270588,0.588235294,0.044617647,0.551988235,0.866235294,0.137352941,0.059429412,107.0364118,3.588235294
tt1121931,Crank: High Voltage,2009,/crank-high-voltage,/crank-high-voltage/trailer,Lionsgate|Jason Statham|Amy Smart|Dwight Yoakam|Efren Ramirez|Bai Ling|Action,crank-high-voltage_trailer,7.3125,0.44711875,0.673129063,5,-8.87865625,0.6875,0.15313125,0.267118313,0.609797041,0.230103125,0.3119625,128.2907188,3.90625
tt1570728,"Crazy, Stupid, Love.",2011,/crazy-stupid-love,/crazy-stupid-love/trailer,Warner Bros. Pictures|Comedy|Romance|Steve Carell|Ryan Gosling|Emma Stone|Julianne Moore|Marisa Tomei|Kevin Bacon,crazy-stupid-love_trailer,,,,,,,,,,,,,
tt1153706,Dance Flick,2009,/dance-flick,/dance-flick/trailer,Paramount Pictures|Comedy|Chelsea Makela|Keenen Ivory Wayans|Shawn Wayans|Marlon Wayans|Brennan Hillard|Kim Wayans|Damon Wayans Jr,dance-flick_trailer,,,,,,,,,,,,,
tt0433362,Daybreakers,2010,/daybreakers,/daybreakers/trailer,Lionsgate|Horror|Ethan Hawke|Willem Dafoe|Claudia Karvan|Michael Dorman|Vince Colosimo|Isabel Lucas|Sam Neill,daybreakers_trailer,0.5625,0.196125,0.207950625,5.625,-18.669875,0.4375,0.04471875,0.7394375,0.8353125,0.09913125,0.05470625,117.5236875,4
tt1137450,Death Wish,2018,/death-wish,/death-wish/feature-trailer,Annapurna Pictures|Action|Crime|Drama|Book|Bruce Willis|Elisabeth Shue|Metro Goldwyn Mayer (MGM)|Vincent D'Onofrio|Kimberly Elise|Dean Norris|Camila Morrone,death-wish_feature-trailer,3.3,0.27065,0.156932,5.65,-23.8313,0.8,0.050515,0.507035,0.8873,0.11786,0.03635,123.41125,3.45
tt0829150,Dracula Untold,2014,/dracula-untold,/dracula-untold/trailer,Universal Pictures|Action|Drama|Fantasy|Luke Evans|Sarah Gadon|Dominic Cooper|Samantha Barks|Diarmaid Murtagh|Charles Dance,dracula-untold_trailer,17.5,0.256235,0.290353,3.85,-19.02715,0.55,0.04244,0.5147,0.81743,0.124435,0.087415,104.3176,3.45
tt0879870,Eat Pray Love,2010,/eat-pray-love,/eat-pray-love/trailer,Columbia Pictures|Comedy|Drama|Book|Julia Roberts|Richard Jenkins|Javier Bardem|Viola Davis|Billy Crudup,eat-pray-love_trailer,6.928571429,0.5365,0.475214286,5.714285714,-10.83892857,0.642857143,0.041378571,0.530714286,0.242814319,0.132964286,0.505035714,112.7778571,4
tt1631867,Edge of Tomorrow,2014,/edge-of-tomorrow,/edge-of-tomorrow/feature-trailer,Warner Bros. Pictures|Book|Action|Sci Fi|Tom Cruise|Emily Blunt,edge-of-tomorrow_feature-trailer,15.90909091,0.339272727,0.260631818,3.545454545,-20.8875,0.681818182,0.057809091,0.599513636,0.800364727,0.138927273,0.066068182,111.8825,3.909090909
tt1631867,Edge of Tomorrow,2014,/edge-of-tomorrow,/edge-of-tomorrow/trailer,Warner Bros. Pictures|Book|Action|Sci Fi|Tom Cruise|Emily Blunt|Bill Paxton|Kick Gurry|Dragomir Mrsic|Charlotte Riley|Jonas Armstrong|Franz Drameh,edge-of-tomorrow_trailer,15.90909091,0.339272727,0.260631818,3.545454545,-20.8875,0.681818182,0.057809091,0.599513636,0.800364727,0.138927273,0.066068182,111.8825,3.909090909
tt1674771,Entourage,2015,/entourage,/entourage/trailer,Warner Bros. Pictures|Comedy|Television|Billy Bob Thornton|Jeremy Piven|Nora Dunn|Emmanuelle Chriqui|Kevin Dillon|Debi Mazar|Adrian Grenier|Jerry Ferrara|Rhys Coiro|Kevin Connolly|Haley Joel Osment|Constance Zimmer|Perrey Reeves|Emily Ratajkowski|Rex Lee,entourage_trailer,19.5,0.722,0.597,2,-5.977,0.5,0.13,0.10685,0.4445,0.5685,0.578,148.4995,4
tt0848537,Epic,2013,/epic-2013,/epic-2013/feature-trailer,20th Century Fox|CG Animation|Adventure|Action|Josh Hutcherson|Amanda Seyfried|Aziz Ansari|Colin Farrell|Christoph Waltz|Jason Sudeikis,epic-2013_feature-trailer,,,,,,,,,,,,,
tt0848537,Epic,2013,/epic-2013,/epic-2013/trailer,20th Century Fox|CG Animation|Adventure|Action|Teaser|Josh Hutcherson|Amanda Seyfried|Aziz Ansari,epic-2013_trailer,,,,,,,,,,,,,
tt0780511,Everybody's Fine,2009,/everybodys-fine,/everybodys-fine/trailer,Miramax Films|Comedy|Drama|Adventure|Robert De Niro|Drew Barrymore|Kate Beckinsale|Sam Rockwell,everybodys-fine_trailer,7.5,0.275975,0.090663333,4.583333333,-22.89775,0.75,0.03875,0.896833333,0.871666667,0.124633333,0.13765,95.28766667,3.333333333
tt1225822,Extract,2009,/extract,/extract/teaser-trailer,Miramax Films|Comedy|Teaser|Jason Bateman|Mila Kunis|Ben Affleck|Kristen Wiig|J.K. Simmons|Clifton Collins Jr.|Beth Grant,extract_teaser-trailer,,,,,,,,,,,,,
tt0120663,Eyes Wide Shut,1999,/eyes-wide-shut,/eyes-wide-shut/feature-trailer,Warner Bros. Pictures|Drama|Mystery|Romance|Tom Cruise|Nicole Kidman|Sydney Pollack|Leelee Sobieski|Marie Richardson|Rade Serbedzija|Todd Field|Vinessa Shaw|Sky du Mont|Fay Masterson,eyes-wide-shut_feature-trailer,,,,,,,,,,,,,
tt0120663,Eyes Wide Shut,1999,/eyes-wide-shut,/eyes-wide-shut/trailer,Warner Bros. Pictures|Drama|Mystery|Romance|Tom Cruise|Nicole Kidman|Sydney Pollack|Leelee Sobieski,eyes-wide-shut_trailer,,,,,,,,,,,,,
tt1013752,Fast & Furious,2009,/fast-and-furious-2009,/fast-and-furious-2009/trailer,Universal Pictures|Franchise/Epic/Trilogy|Action|Thriller|Vin Diesel|Paul Walker|Michelle Rodriguez|Jordana Brewster,fast-and-furious-2009_trailer,,,,,,,,,,,,,
tt1433108,Faster,2010,/faster,/faster/trailer,CBS Films|Thriller|Action|Drama|Dwayne Johnson|Maggie Grace|Billy Bob Thornton|Jennifer Carpenter|Carla Gugino|Adewale Akinnuoye-Agbaje|Oliver Jackson-Cohen,faster_trailer,,,,,,,,,,,,,
tt1433108,Faster,2010,/faster,/faster/teaser-trailer,CBS Films|Thriller|Action|Drama|Teaser|Dwayne Johnson|Maggie Grace|Billy Bob Thornton,faster_teaser-trailer,,,,,,,,,,,,,
tt2322441,Fifty Shades of Grey,2015,/fifty-shades-of-grey,/fifty-shades-of-grey/trailer,Focus Features|Book|Drama|Romance|Jamie Dornan|Dakota Johnson,fifty-shades-of-grey_trailer,45.76923077,0.489307692,0.424846154,5.153846154,-8.808,0.307692308,0.032753846,0.487353846,0.23071933,0.126807692,0.283615385,135.6218462,3.769230769
tt1082601,Fighting,2009,/fighting,/fighting/trailer,Rogue Pictures|Drama|Channing Tatum|Terrence Howard|Brian J. White|Luis Guzman|Zulay Henao,fighting_trailer,,,,,,,,,,,,,
tt1907668,Flight,2012,/flight-2012,/flight-2012/trailer,Paramount Pictures|Drama|Denzel Washington|Kelly Reilly|Don Cheadle|Bruce Greenwood|Brian Geraghty|John Goodman|Tamara Tunie,flight-2012_trailer,,,,,,,,,,,,,
tt2381941,Focus,2015,/focus-2014,/focus-2014/trailer,Warner Bros. Pictures|Comedy|Crime|Romance|Margot Robbie|Will Smith|Rodrigo Santoro|BD Wong|Gerald McRaney|Robert Taylor|Adrian Martinez|Brennan Brown,focus-2014_trailer,,,,,,,,,,,,,
tt0390022,Friday Night Lights,2004,/friday-night-lights,/friday-night-lights/trailer,Universal Pictures|Sport|Drama|Billy Bob Thornton|Jay Hernandez|Tim McGraw|Lucas Black|Derek Luke|Lee Thompson Young|Connie Britton|Garrett Hedlund,friday-night-lights_trailer,28.28571429,0.301621429,0.13085,4.642857143,-24.08942857,0.857142857,0.038492857,0.702870214,0.723706643,0.1328,0.086,108.5831429,3.214285714
tt0492389,Furry Vengeance,2010,/furry-vengeance,/furry-vengeance/trailer,Summit Entertainment|Comedy|Brendan Fraser|Brooke Shields|Ken Jeong|Matt Prokop,furry-vengeance_trailer,,,,,,,,,,,,,
tt1583421,G.I. Joe: Retaliation,2013,/gi-joe-2-retaliation,/gi-joe-2-retaliation/trailer,Paramount Pictures|Action|Adventure|Cartoon|Franchise/Epic/Trilogy|Channing Tatum|Ray Park|Dwayne Johnson|Bruce Willis|Elodie Yung|RZA|D.J. Cotrona|Adrianne Palicki|Ray Stevenson|Joseph Mazzello|Walton Goggins|DeRay Davis,gi-joe-2-retaliation_trailer,,,,,,,,,,,,,
tt1034032,Gamer,2009,/gamer,/gamer/trailer,Lionsgate|Foreign / Foreign Language|Action|Drama|Thriller|Gerard Butler|Michael C. Hall|Milo Ventimiglia|Alison Lohman|John Lequizamo|Efren Ramirez|Terry Crews|Kyra Sedgwick|Zoe Bell|Ludacris,gamer_trailer,0.043478261,0.448565217,0.538626087,5.086956522,-13.26069565,0.608695652,0.080334783,0.135589145,0.714678261,0.229778261,0.245773913,132.2837391,3.652173913
tt1321870,Gangster Squad,2013,/the-gangster-squad,/the-gangster-squad/feature-trailer,Warner Bros. Pictures|Crime|Action|Josh Brolin|Ryan Gosling|Nick Nolte|Robert Patrick|Michael Peña|Giovanni Ribisi|Anthony Mackie|Emma Stone|Sean Penn,the-gangster-squad_feature-trailer,,,,,,,,,,,,,
tt1321870,Gangster Squad,2013,/the-gangster-squad,/the-gangster-squad/trailer,Warner Bros. Pictures|Crime|Action|Josh Brolin|Ryan Gosling|Nick Nolte|Robert Patrick|Michael Peña|Giovanni Ribisi|Anthony Mackie|Emma Stone|Sean Penn,the-gangster-squad_trailer,,,,,,,,,,,,,
tt0821640,Ghosts of Girlfriends Past,2009,/ghosts-of-girlfriends-past,/ghosts-of-girlfriends-past/trailer,New Line Cinema|Comedy|Matthew McConaughey|Jennifer Garner|Lacey Chabert|Michael Douglas|Emma Stone|Anne Archer|Robert Forster,ghosts-of-girlfriends-past_trailer,,,,,,,,,,,,,
tt2267998,Gone Girl,2014,/gone-girl,/gone-girl/trailer,20th Century Fox|Drama|Thriller|Book|Ben Affleck|Rosamund Pike|Missi Pyle|Tyler Perry|Kim Dickens|Patrick Fugit|Sela Ward|Kathleen Rose Perkins,gone-girl_trailer,27.125,0.339366667,0.145024292,5.625,-23.28266667,0.541666667,0.045475,0.921041667,0.915375,0.117475,0.1211625,99.99429167,3.791666667
